"theme.name","total.parts","total.heads","ethnic.diversity","pct.female","total.hair","total.clothes","total.accessories","total.fashion.items","total.moods","total.plants","plant.species.diversity","total.animals","animal.species.diversity","total.plants.animals"
"Service Packs",6745,11,0.439496986921513,NA,26,25,98,125,10,46,2.40638958973139,22,2.06265634803727,68
"Space",42642,471,1.50570691651514,11.3924050632911,5,1070,758,1477,318,10,0.881290899230693,29,1.84562766973822,39
"Speed Champions",10023,66,0.113274303497097,34.0425531914894,16,164,184,279,45,NA,NA,NA,NA,NA
"SpongeBob SquarePants",4507,38,2.71532669877181,NA,NA,82,36,91,6,45,2.0781359715664,4,0,49
"Sports",8463,274,0.567758694005784,4.79452054794521,170,547,61,756,138,11,0.439496986921513,NA,NA,11
"Spybiotics",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Star Wars",216577,1146,2.98259544123013,15.0214592274678,243,3473,1101,4192,276,208,3.04437356927971,80,3.19133097965925,288
"Studios",1870,40,0.384311544126497,11.4285714285714,1,82,65,119,6,10,0,40,2.16421331504883,50
"Super Heroes",72688,669,3.24133513128964,40.9090909090909,263,1614,1104,2275,398,123,2.97269388274841,217,2.99259340366305,340
"System",24877,4,0,0,NA,8,10,11,3,144,0,3,0,147
"Technic",198136,2,0,NA,2,9,82,53,2,28,0.905928216042999,3,1.58496250072116,31
"Teenage Mutant Ninja Turtles",7428,69,2.9866138892111,27.2727272727273,6,189,170,276,16,2,0,12,0.413816850303634,14
"The Hobbit and Lord of the Rings",9214,117,2.19420769762854,4.54545454545455,52,208,124,287,71,131,3.39138282751707,46,2.01636960496066,177
"The LEGO Movie",22578,153,1.81100507719049,36.5079365079365,91,396,391,569,123,72,3.20245725467221,81,3.41678235885502,153
"The Lone Ranger",2614,31,0.823811633312317,9.52380952380952,14,64,110,97,33,8,0.811278124459133,25,1.71293503961937,33
"The Powerpuff Girls",369,5,2.32192809488736,100,NA,14,14,20,NA,7,1.14883485428092,1,0,8
"Time Cruisers",1774,21,1.24670521273257,0,4,42,44,70,3,11,0.994030211476956,30,1.84581413154894,41
"Town",172263,2040,0.211811535362328,28.4222737819026,489,4224,4605,6486,1527,2143,2.68105420641918,401,3.92562091467074,2544
"Toy Story",3185,28,1.74582726445434,30,NA,55,59,81,5,NA,NA,19,2.18033738106757,19
"Train",40218,266,0.367701487911146,19.2982456140351,77,539,269,722,199,60,1.82560519901694,NA,NA,60
"Unikitty!",2276,1,0,NA,NA,10,3,13,NA,27,2.90244259731149,18,1.20864895095306,45
"Universal Building Set",70877,118,0.123949867711008,30,73,198,40,289,83,1055,2.26050853043366,11,2.16264411804726,1066
"Universe",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Value Packs",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vikings",2897,30,0.948078243593905,0,NA,67,23,73,12,8,0,73,2.89742880900767,81
"Western",2474,54,0.133039648610699,10,16,106,132,157,11,47,0.488908591440515,47,2.19823553334031,94
"X-Pod",587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xtra",236,4,1,NA,NA,NA,3,3,NA,36,2.6003835163307,13,2.66122625626979,49
"Znap",1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
