"from","to","type","depth","color"
"spiny-finned fish","flatfish","animal",8,"black"
"flatfish","flounder","animal",9,"black"
"craniate","amphibian","animal",3,"black"
"amphibian","frog","animal",4,"black"
"bovid","goat","animal",9,"black"
"artiodactyl mammal","hippo","animal",7,"black"
"canis familiaris","hunting dog","animal",8,"black"
"hunting dog","hound","animal",9,"black"
"working dog","husky","animal",9,"black"
"beetle","ladybug","animal",5,"black"
"bovid","lamb","animal",9,"black"
"primate","lemur","animal",6,"black"
"decapod","lobster","animal",5,"black"
"herbaceous plant","mandrake","plant",3,"black"
"ray","manta","animal",8,"black"
"bird","ratite","animal",4,"black"
"ratite","ostrich","animal",5,"black"
"carnivore","procyonid","animal",6,"black"
"procyonid","panda","animal",7,"black"
"big cat","panther","animal",8,"black"
"herbaceous plant","pineapple","plant",3,"black"
"equine","equus caballus","animal",8,"black"
"equus caballus","pony","animal",9,"black"
"canis familiaris","poodle","animal",8,"black"
"procyonid","raccoon","animal",7,"black"
"cervid","reindeer","animal",9,"black"
"pelecypod","scallop","animal",4,"black"
"seabird","coastal diving bird","animal",6,"black"
"coastal diving bird","larid","animal",7,"black"
"larid","seagull","animal",8,"black"
"aquatic mammal","pinnatiped","animal",6,"black"
"pinnatiped","seal","animal",7,"black"
"insect","thysanuron","animal",4,"black"
"thysanuron","silverfish","animal",5,"black"
"carnivore","mustelid","animal",6,"black"
"mustelid","skunk","animal",7,"black"
"invertebrate","echinoderm","animal",2,"black"
"echinoderm","starfish","animal",3,"black"
"ornithischian","armored dinosaur","animal",8,"black"
"armored dinosaur","stegosaurus","animal",9,"black"
"herbaceous plant","vegetable","plant",3,"black"
"flower","windflower","plant",5,"black"
