"id","name","rgb","is_trans","color.name","color.hex","text.color.hex"
288,"Dark Green","184632","f","Dark Green","#184632","#FFFFFF"
294,"Glow In Dark Trans","BDC6AD","t","Glow In Dark Trans","#BDC6AD","#FFFFFF"
297,"Pearl Gold","AA7F2E","f","Pearl Gold","#AA7F2E","#FFFFFF"
308,"Dark Brown","352100","f","Dark Brown","#352100","#FFFFFF"
313,"Maersk Blue","3592C3","f","Maersk Blue","#3592C3","#FFFFFF"
320,"Dark Red","720E0F","f","Dark Red","#720E0F","#FFFFFF"
321,"Dark Azure","078BC9","f","Dark Azure","#078BC9","#FFFFFF"
322,"Medium Azure","36AEBF","f","Medium Azure","#36AEBF","#FFFFFF"
323,"Light Aqua","ADC3C0","f","Light Aqua","#ADC3C0","#FFFFFF"
326,"Olive Green","9B9A5A","f","Olive Green","#9B9A5A","#FFFFFF"
334,"Chrome Gold","BBA53D","f","Chrome Gold","#BBA53D","#FFFFFF"
335,"Sand Red","D67572","f","Sand Red","#D67572","#FFFFFF"
351,"Medium Dark Pink","F785B1","f","Medium Dark Pink","#F785B1","#FFFFFF"
366,"Earth Orange","FA9C1C","f","Earth Orange","#FA9C1C","#FFFFFF"
373,"Sand Purple","845E84","f","Sand Purple","#845E84","#FFFFFF"
378,"Sand Green","A0BCAC","f","Sand Green","#A0BCAC","#FFFFFF"
379,"Sand Blue","6074A1","f","Sand Blue","#6074A1","#FFFFFF"
383,"Chrome Silver","E0E0E0","f","Chrome Silver","#E0E0E0","#000000"
450,"Fabuland Brown","B67B50","f","Fabuland Brown","#B67B50","#FFFFFF"
462,"Medium Orange","FFA70B","f","Medium Orange","#FFA70B","#FFFFFF"
484,"Dark Orange","A95500","f","Dark Orange","#A95500","#FFFFFF"
503,"Very Light Gray","E6E3DA","f","Very Light Gray","#E6E3DA","#000000"
1000,"Glow in Dark White","D9D9D9","f","Glow in Dark White","#D9D9D9","#000000"
1001,"Medium Violet","9391E4","f","Medium Violet","#9391E4","#FFFFFF"
1002,"Glitter Trans-Neon Green","C0F500","t","Glitter Trans-Neon Green","#C0F500","#000000"
1003,"Glitter Trans-Light Blue","68BCC5","t","Glitter Trans-Light Blue","#68BCC5","#FFFFFF"
1004,"Trans Flame Yellowish Orange","FCB76D","t","Trans Flame Yellowish Orange","#FCB76D","#FFFFFF"
1005,"Trans Fire Yellow","FBE890","t","Trans Fire Yellow","#FBE890","#000000"
1006,"Trans Light Royal Blue","B4D4F7","t","Trans Light Royal Blue","#B4D4F7","#FFFFFF"
1007,"Reddish Lilac","8E5597","f","Reddish Lilac","#8E5597","#FFFFFF"
1008,"Vintage Blue","039CBD","f","Vintage Blue","#039CBD","#FFFFFF"
1009,"Vintage Green","1E601E","f","Vintage Green","#1E601E","#FFFFFF"
1010,"Vintage Red","CA1F08","f","Vintage Red","#CA1F08","#FFFFFF"
1011,"Vintage Yellow","F3C305","f","Vintage Yellow","#F3C305","#000000"
1012,"Fabuland Orange","EF9121","f","Fabuland Orange","#EF9121","#FFFFFF"
1013,"Modulex White","F4F4F4","f","Modulex White","#F4F4F4","#000000"
1014,"Modulex Light Bluish Gray","AfB5C7","f","Modulex Light Bluish Gray","#AfB5C7","#FFFFFF"
1015,"Modulex Light Gray","9C9C9C","f","Modulex Light Gray","#9C9C9C","#FFFFFF"
1016,"Modulex Charcoal Gray","595D60","f","Modulex Charcoal Gray","#595D60","#FFFFFF"
1017,"Modulex Tile Gray","6B5A5A","f","Modulex Tile Gray","#6B5A5A","#FFFFFF"
1018,"Modulex Black","4D4C52","f","Modulex Black","#4D4C52","#FFFFFF"
1019,"Modulex Tile Brown","330000","f","Modulex Tile Brown","#330000","#FFFFFF"
1020,"Modulex Terracotta","5C5030","f","Modulex Terracotta","#5C5030","#FFFFFF"
1021,"Modulex Brown","907450","f","Modulex Brown","#907450","#FFFFFF"
1022,"Modulex Buff","DEC69C","f","Modulex Buff","#DEC69C","#FFFFFF"
1023,"Modulex Red","B52C20","f","Modulex Red","#B52C20","#FFFFFF"
1024,"Modulex Pink Red","F45C40","f","Modulex Pink Red","#F45C40","#FFFFFF"
1025,"Modulex Orange","F47B30","f","Modulex Orange","#F47B30","#FFFFFF"
1026,"Modulex Light Orange","F7AD63","f","Modulex Light Orange","#F7AD63","#FFFFFF"
1027,"Modulex Light Yellow","FFE371","f","Modulex Light Yellow","#FFE371","#000000"
1028,"Modulex Ochre Yellow","FED557","f","Modulex Ochre Yellow","#FED557","#000000"
1029,"Modulex Lemon","BDC618","f","Modulex Lemon","#BDC618","#FFFFFF"
1030,"Modulex Pastel Green","7DB538","f","Modulex Pastel Green","#7DB538","#FFFFFF"
1031,"Modulex Olive Green","7C9051","f","Modulex Olive Green","#7C9051","#FFFFFF"
1032,"Modulex Aqua Green","27867E","f","Modulex Aqua Green","#27867E","#FFFFFF"
1033,"Modulex Teal Blue","467083","f","Modulex Teal Blue","#467083","#FFFFFF"
1034,"Modulex Tile Blue","0057A6","f","Modulex Tile Blue","#0057A6","#FFFFFF"
1035,"Modulex Medium Blue","61AFFF","f","Modulex Medium Blue","#61AFFF","#FFFFFF"
1036,"Modulex Pastel Blue","68AECE","f","Modulex Pastel Blue","#68AECE","#FFFFFF"
1037,"Modulex Violet","BD7D85","f","Modulex Violet","#BD7D85","#FFFFFF"
1038,"Modulex Pink","F785B1","f","Modulex Pink","#F785B1","#FFFFFF"
1039,"Modulex Clear","FFFFFF","f","Modulex Clear","#FFFFFF","#000000"
1040,"Modulex Foil Dark Gray","595D60","f","Modulex Foil Dark Gray","#595D60","#FFFFFF"
1041,"Modulex Foil Light Gray","9C9C9C","f","Modulex Foil Light Gray","#9C9C9C","#FFFFFF"
