"rel_type","child_part_num","parent_part_num"
"P","10154pr0006","10154"
"P","973pr4416c01","973c00"
"P","3010pr0039","3010"
"P","3010pr0040","3010"
"P","3626cpr2463","3626c"
"P","3068bor0370","3068b"
"P","98345pr0003","98345"
"P","3035oldpb01","3035a"
"T","15678pat0001","15678"
"P","3626cpr1013","3626c"
"M","90194","48183"
"P","6180pb021r","6180"
"P","973pr4442c01","973c00"
"P","3846pr0010","3846"
"P","93348pr0002","93348"
"P","973pr4336c01","973c00"
"P","973pr2779c01","973c00"
"P","3062bpr0018","3062b"
"P","3626cpr1425","3626c"
"A","60212","3788"
"P","41751pr3","41751"
"P","973pr4406c01","973c00"
"M","86035","4485"
"P","970c00pr7001","970c00"
"A","3749","43093"
"P","98166pr0001","98166"
"T","53548pat0001","53548"
"P","973pr2536c01","973c00"
"T","53983pat0002","53983"
"P","99243pr0001","99243"
"P","89974pr0001","89974"
"P","970c00pr0865","970c00"
"P","19196pr0001","19196"
"P","973pr3027c01","973c00"
"P","3626cpr1429","3626c"
"P","3626cpr1684","3626c"
"P","50956pr0001","50956"
"P","3626cpr1685","3626c"
"P","973pr3028c01","973c00"
"P","20904pr0002","20904"
"P","3626cpr1960","3626c"
"P","973pr4316c01","973c00"
"P","3678bpr0049","3678b"
"P","12613pr0001","12613"
"P","19981pr0013","19981"
"P","3626cpr1819","3626c"
"P","21019pat08","970c00"
"P","973pr3437c01","973c00"
"P","970c00pr2077","970c00"
"P","973pr3442c01","973c00"
"P","970c00pr1078","970c00"
"P","973pr3446c01","973c00"
"P","3004pr0017","3004"
"P","3068bpb0088","3068b"
"P","3626cpr1969","3626c"
"P","973pr1677c01","973c00"
"P","973pr2011ac01","973c00"
"P","90398pr0014","90398"
"P","973pr2978c01","973c00"
"P","14769pr1001","14769"
"P","973pr2002c01","973c00"
"P","6180pb029r","6180"
"P","973pr2979c01","973c00"
"P","89974pr0002","89974"
"P","973pr2980c01","973c00"
"P","41751pr6","41751"
"P","2431pr0124","2431"
"A","3673","2780"
"M","2991b","2991"
"P","19729pr0012a","19729"
"P","973pr2981c01","973c00"
"P","973pr2970c07","973c00"
"T","60920pat0001","60920"
"P","4162pr0036b","4162"
"P","3068bpr0930","3068b"
"P","19729pr0015a","19729"
"P","2431pr0007","2431"
